(0, 'a', 1014345021)
(0, 'b', 327718625)
(0, 'c', -359594273)
(0, 'd', -290119784)
(0, 'e', -1438497443)
(0, 'f', 1624421173)
(0, 'g', -1082230035)
(0, 'h', 1925215950)
(0, 'i', 139070431)
(0, 'j', -1588656907)
(0, 'k', 2139121894)
(0, 'l', -1567502073)
(0, 'm', -106712134)
(0, 'n', -1312062974)
(0, 'o', -873694630)
(0, 'p', 1634935579)
(0, 'q', -346537146)
(0, 'r', 106782590)
(0, 's', -1143485713)
(0, 't', -1156531604)
(0, 'u', -36399871)
(0, 'v', 529233061)
(0, 'w', 1990062453)
(0, 'x', -1710183689)
(0, 'y', -1194363852)
(0, 'z', 224912288)
(0, ' ', -1002095591)
(1, 'a', 1811932852)
(1, 'b', -699309836)
(1, 'c', -1731677829)
(1, 'd', -1602231847)
(1, 'e', 1473166704)
(1, 'f', -118134401)
(1, 'g', 850189201)
(1, 'h', -154241845)
(1, 'i', -803510674)
(1, 'j', 1187546188)
(1, 'k', -1445459757)
(1, 'l', -1470133670)
(1, 'm', 341298285)
(1, 'n', -1032536388)
(1, 'o', -231427912)
(1, 'p', 1514695448)
(1, 'q', -1201749830)
(1, 'r', 880686829)
(1, 's', 682877947)
(1, 't', -877731414)
(1, 'u', -795752382)
(1, 'v', -1636844588)
(1, 'w', -87827684)
(1, 'x', -1367236635)
(1, 'y', -2129572445)
(1, 'z', -1544357033)
(1, ' ', -620217964)
(2, 'a', 1412985179)
(2, 'b', -1965791300)
(2, 'c', 23181431)
(2, 'd', -963202535)
(2, 'e', 1251342486)
(2, 'f', -781503279)
(2, 'g', -1478311565)
(2, 'h', -788460219)
(2, 'i', 497622638)
(2, 'j', -498032199)
(2, 'k', -712523194)
(2, 'l', -590036807)
(2, 'm', -3254064)
(2, 'n', -1245889723)
(2, 'o', 870922198)
(2, 'p', 1883588556)
(2, 'q', -501208639)
(2, 'r', -672046385)
(2, 's', -248505028)
(2, 't', 1287163876)
(2, 'u', 2025091035)
(2, 'v', 1338934040)
(2, 'w', -316203896)
(2, 'x', 1286736206)
(2, 'y', -1574376222)
(2, 'z', -1660523144)
(2, ' ', -836416042)
(3, 'a', -422440038)
(3, 'b', 833256874)
(3, 'c', 8390019)
(3, 'd', 151553954)
(3, 'e', 1007867736)
(3, 'f', 913680933)
(3, 'g', 674535161)
(3, 'h', -961649015)
(3, 'i', 1352410609)
(3, 'j', 827681562)
(3, 'k', 2035820088)
(3, 'l', 542178277)
(3, 'm', -1477063047)
(3, 'n', -1517544367)
(3, 'o', 1586232367)
(3, 'p', -969490732)
(3, 'q', -2090597323)
(3, 'r', 450022236)
(3, 's', -239650225)
(3, 't', 852874254)
(3, 'u', -2089814841)
(3, 'v', -865329347)
(3, 'w', 1924723640)
(3, 'x', -1494909537)
(3, 'y', -72599007)
(3, 'z', -885402095)
(3, ' ', -451574040)
(4, 'a', 2058694957)
(4, 'b', -1120480094)
(4, 'c', 452850590)
(4, 'd', 1454706387)
(4, 'e', 1738040883)
(4, 'f', -1811147838)
(4, 'g', 1250669518)
(4, 'h', 2134354006)
(4, 'i', -2040813673)
(4, 'j', 1893336768)
